_element_key,_element_name,_element_type,_list_child_element_keys
hhsurv_discharge_date,hhsurv_discharge_date,date,[]
hhsurv_discriminated,hhsurv_discriminated,string,[]
hhsurv_discrimination_faced,hhsurv_discrimination_faced,array,"[""hhsurv_discrimination_faced_items""]"
hhsurv_discrimination_faced_items,items,string,[]
hhsurv_distance_treatment,hhsurv_distance_treatment,string,[]
hhsurv_eye_problems,hhsurv_eye_problems,string,[]
hhsurv_family_unwell_since,hhsurv_family_unwell_since,string,[]
hhsurv_hearing_loss,hhsurv_hearing_loss,string,[]
hhsurv_hospital_admission,hhsurv_hospital_admission,string,[]
hhsurv_hospitalised,hhsurv_hospitalised,string,[]
hhsurv_lassa_checkup,hhsurv_lassa_checkup,string,[]
hhsurv_lassa_checkup_date,hhsurv_lassa_checkup_date,date,[]
hhsurv_other_discrimination_faced,hhsurv_other_discrimination_faced,string,[]
hhsurv_other_symptoms_since_unwell,hhsurv_other_symptoms_since_unwell,string,[]
hhsurv_permanent_damage,hhsurv_permanent_damage,string,[]
hhsurv_post_infection_hospitalisation,hhsurv_post_infection_hospitalisation,string,[]
hhsurv_post_infection_hospitalisation_treatment,hhsurv_post_infection_hospitalisation_treatment,string,[]
hhsurv_post_infection_hospitalisation_treatment_frequency,hhsurv_post_infection_hospitalisation_treatment_frequency,string,[]
hhsurv_post_lassa_lassa_symptoms,hhsurv_post_lassa_lassa_symptoms,string,[]
hhsurv_psychiatric_syndrome,hhsurv_psychiatric_syndrome,string,[]
hhsurv_reintegration_since,hhsurv_reintegration_since,string,[]
hhsurv_symptoms_since_unwell,hhsurv_symptoms_since_unwell,array,"[""hhsurv_symptoms_since_unwell_items""]"
hhsurv_symptoms_since_unwell_items,items,string,[]
hhsurv_unwell_since,hhsurv_unwell_since,string,[]
hhsurv_where_seek_treatment,hhsurv_where_seek_treatment,array,"[""hhsurv_where_seek_treatment_items""]"
hhsurv_where_seek_treatment_items,items,string,[]
hospital_admission,hospital_admission,string,[]
hospitalised,hospitalised,string,[]
house_in_farm,house_in_farm,string,[]
how_catch_rat,how_catch_rat,array,"[""how_catch_rat_items""]"
how_catch_rat_items,items,string,[]
how_catch_rat_other,how_catch_rat_other,string,[]
how_prevent,how_prevent,array,"[""how_prevent_items""]"
how_prevent_items,items,string,[]
if_local_name,if_local_name,string,[]
income,income,number,[]
infoOnLassa,infoOnLassa,array,"[""infoOnLassa_items""]"
infoOnLassa_items,items,string,[]
interview_date,interview_date,date,[]
interview_reason,interview_reason,string,[]
kitchens,kitchens,integer,[]
know_LF_patient,know_LF_patient,string,[]
know_contact,know_contact,string,[]
know_fever_cause,know_fever_cause,string,[]
know_signs,know_signs,string,[]
knowsOfLassa,knowsOfLassa,string,[]
lassa_checkup,lassa_checkup,string,[]
lassa_checkup_date,lassa_checkup_date,date,[]
last_fever,last_fever,string,[]
local_name,local_name,string,[]
log_0,log_0,string(60000),[]
log_1,log_1,string(60000),[]
log_10,log_10,string(60000),[]
log_11,log_11,string(60000),[]
log_12,log_12,string(60000),[]
log_13,log_13,string(60000),[]
log_14,log_14,string(60000),[]
log_15,log_15,string(60000),[]
log_16,log_16,string(60000),[]
log_17,log_17,string(60000),[]
log_18,log_18,string(60000),[]
log_19,log_19,string(60000),[]
log_2,log_2,string(60000),[]
log_3,log_3,string(60000),[]
log_4,log_4,string(60000),[]
log_5,log_5,string(60000),[]
log_6,log_6,string(60000),[]
log_7,log_7,string(60000),[]
log_8,log_8,string(60000),[]
log_9,log_9,string(60000),[]
maizecrop_storage,maizecrop_storage,array,"[""maizecrop_storage_items""]"
maizecrop_storage_items,items,string,[]
make_garri,make_garri,string,[]
mastomys,mastomys,string,[]
not_mn_rat_frequency,not_mn_rat_frequency,string,[]
not_mn_rat_month,not_mn_rat_month,array,"[""not_mn_rat_month_items""]"
not_mn_rat_month_items,items,string,[]
not_mn_rat_time,not_mn_rat_time,string,[]
not_mn_where_rat,not_mn_where_rat,array,"[""not_mn_where_rat_items""]"
not_mn_where_rat_items,items,string,[]
not_mn_where_rat_other,not_mn_where_rat_other,string,[]
notes,notes,string,[]
occupation,occupation,array,"[""occupation_items""]"
occupation_items,items,string,[]
other_cause,other_cause,string,[]
other_contact,other_contact,string,[]
other_discrimination_faced,other_discrimination_faced,string,[]
other_had_lassa_where_seek_treatment,other_had_lassa_where_seek_treatment,string,[]
other_hhsurv__where_seek_treatment,other_hhsurv__where_seek_treatment,string,[]
other_how_prevent,other_how_prevent,string,[]
other_infoOnLassa,other_infoOnLassa,string,[]
other_maizecrop_storage,other_maizecrop_storage,string,[]
other_occupation,other_occupation,string,[]
other_rice_storage,other_rice_storage,string,[]
other_ricecrop_storage,other_ricecrop_storage,string,[]
other_signs,other_signs,string,[]
other_store_food,other_store_food,string,[]
other_store_garri,other_store_garri,string,[]
other_symptoms_since_unwell,other_symptoms_since_unwell,string,[]
other_trader_type,other_trader_type,string,[]
other_treat,other_treat,string,[]
other_where_seek_treatment,other_where_seek_treatment,string,[]
permanent_damage,permanent_damage,string,[]
person_id,person_id,string,[]
photo,photo,mimeUri,"[""photo_contentType"",""photo_uriFragment""]"
photo_consent,photo_consent,string,[]
photo_contentType,contentType,mimeType,[]
photo_uriFragment,uriFragment,rowpath,[]
picture_dump,picture_dump,string,[]
post_infection_hospitalisation,post_infection_hospitalisation,string,[]
post_infection_hospitalisation_treatment,post_infection_hospitalisation_treatment,string,[]
post_infection_hospitalisation_treatment_frequency,post_infection_hospitalisation_treatment_frequency,string,[]
post_lassa_lassa_symptoms,post_lassa_lassa_symptoms,string,[]
psychiatric_syndrome,psychiatric_syndrome,string,[]
rat_frequency,rat_frequency,string,[]
rat_month,rat_month,array,"[""rat_month_items""]"
rat_month_items,items,string,[]
rat_time,rat_time,string,[]
rats_present,rats_present,string,[]
reintegration_since,reintegration_since,string,[]
relationship,relationship,string,[]
rice_storage,rice_storage,array,"[""rice_storage_items""]"
rice_storage_items,items,string,[]
ricecrop_storage,ricecrop_storage,array,"[""ricecrop_storage_items""]"
ricecrop_storage_items,items,string,[]
sample_ID,sample_ID,string,[]
see_dump,see_dump,string,[]
seek_treatment,seek_treatment,string,[]
sell,sell,string,[]
signs,signs,array,"[""signs_items""]"
signs_items,items,string,[]
site,site,string,[]
store_food,store_food,array,"[""store_food_items""]"
store_food_items,items,string,[]
store_garri,store_garri,array,"[""store_garri_items""]"
store_garri_items,items,string,[]
store_gps,store_gps,geopoint,"[""store_gps_accuracy"",""store_gps_altitude"",""store_gps_latitude"",""store_gps_longitude""]"
store_gps_accuracy,accuracy,number,[]
store_gps_altitude,altitude,number,[]
store_gps_dump,store_gps_dump,geopoint,"[""store_gps_dump_accuracy"",""store_gps_dump_altitude"",""store_gps_dump_latitude"",""store_gps_dump_longitude""]"
store_gps_dump_accuracy,accuracy,number,[]
store_gps_dump_altitude,altitude,number,[]
store_gps_dump_latitude,latitude,number,[]
store_gps_dump_longitude,longitude,number,[]
store_gps_latitude,latitude,number,[]
store_gps_longitude,longitude,number,[]
sun_dry_garri,sun_dry_garri,string,[]
survey_ID,survey_ID,string,[]
survivor_available,survivor_available,string,[]
symptoms_since_unwell,symptoms_since_unwell,array,"[""symptoms_since_unwell_items""]"
symptoms_since_unwell_items,items,string,[]
take_vaccine,take_vaccine,string,[]
tell_treatment_type,tell_treatment_type,string,[]
temp1,temp1,number,[]
temp2,temp2,number,[]
temp3,temp3,number,[]
temp_consent,temp_consent,string,[]
town_name,town_name,string,[]
trader_type,trader_type,array,"[""trader_type_items""]"
trader_type_items,items,string,[]
treatment_type,treatment_type,string,[]
unwell_since,unwell_since,string,[]
village_name,village_name,string,[]
voice_interview,voice_interview,mimeUri,"[""voice_interview_contentType"",""voice_interview_uriFragment""]"
voice_interview_contentType,contentType,mimeType,[]
voice_interview_uriFragment,uriFragment,rowpath,[]
what_treat,what_treat,array,"[""what_treat_items""]"
what_treat_items,items,string,[]
where_fever_treatment,where_fever_treatment,array,"[""where_fever_treatment_items""]"
where_fever_treatment_items,items,string,[]
where_rat,where_rat,array,"[""where_rat_items""]"
where_rat_items,items,string,[]
where_rat_other,where_rat_other,string,[]
where_seek_treatment,where_seek_treatment,array,"[""where_seek_treatment_items""]"
where_seek_treatment_items,items,string,[]
why_no_treatment,why_no_treatment,string,[]
willing_to_help,willing_to_help,string,[]
wives,wives,integer,[]
year,year,integer,[]
